"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Rox8",4.03843898653235e-08,-0.2190777676721,0.177,0.207,0.000502341425534759
"P32",4.05114476254055e-08,-0.516436583848419,0.039,0.055,0.000503921897012419
"CG15347",4.15701994071223e-08,0.646570759332317,0.064,0.047,0.000517091710425194
"asRNA:CR44019",4.1745345646753e-08,0.716038952642483,0.013,0.005,0.000519270354499961
"CG2017",4.2514979953927e-08,0.520063107155285,0.085,0.065,0.000528843835646899
"CG11095",4.34872145154571e-08,-0.628002621476971,0.009,0.018,0.000540937461357771
"CCT3",4.4338095887165e-08,-0.371809921904919,0.085,0.107,0.000551521574740445
"CG3777",4.4643598259346e-08,0.929391099889244,0.04,0.026,0.000555321718748005
"CG43630",4.54701312553023e-08,-0.811673932181942,0.011,0.02,0.000565602962684705
"lncRNA:CR44831",4.5538338745552e-08,0.59110390550808,0.077,0.059,0.000566451395655921
"orb2",4.74273399703891e-08,-0.269234229551676,0.171,0.2,0.00058994868189167
"Gas8",4.7449744108127e-08,1.69253751467637,0.015,0.007,0.000590227366960991
"Aprt",4.80043822539819e-08,-1.00776733661619,0.016,0.026,0.00059712651085728
"Tak1",4.80583300665016e-08,-0.357041979526421,0.135,0.16,0.000597797567697214
"CG18628",4.82566900434547e-08,-0.444485976003556,0.042,0.058,0.000600264967450533
